,Title,Artist,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
32,Love On The Brain,Rihanna,33,Love On The Brain,ANTI,Rihanna,2016-01-28,224000,1,0.509,0.0717,0.509,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006,3,0.378,True
33,I Feel It Coming,The Weeknd Featuring Daft Punk,34,I Feel It Coming,Starboy,The Weeknd,2016-11-25,269186,82,0.773,0.428,0.773,0.819,0.0,0.0679,-5.946,0.118,92.987,4,0.585,False
34,Bounce Back,Big Sean,35,Bounce Back,I Decided.,Big Sean,2017-02-03,222360,75,0.78,0.106,0.78,0.575,0.0,0.129,-5.628,0.139,81.502,4,0.273,True
35,Strip That Down,Liam Payne Featuring Quavo,36,Strip That Down,Strip That Down,Liam Payne,2017-05-18,204502,70,0.874,0.22,0.874,0.497,0.0,0.0761,-5.484,0.0562,106.023,4,0.542,False
36,Fake Love,Drake,37,Fake Love,More Life,Drake,2017-03-18,210937,77,0.928,0.105,0.928,0.481,0.0,0.176,-9.35,0.287,134.007,4,0.613,True
37,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,38,Don't Wanna Know (feat. Kendrick Lamar),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,214265,0,0.776,0.341,0.776,0.62,0.0,0.0978,-6.198,0.067,100.025,4,0.427,False
38,Look What You Made Me Do,Taylor Swift,39,Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,2017-08-24,211859,0,0.767,0.21,0.767,0.671,1.12e-05,0.129,-6.416,0.142,128.072,4,0.474,False
39,Castle On The Hill,Ed Sheeran,40,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,81,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4,0.471,False
40,Bad Things,Machine Gun Kelly x Camila Cabello,41,Bad Things (with Camila Cabello),bloom,Machine Gun Kelly,2017-05-12,239293,75,0.697,0.214,0.697,0.691,0.0,0.185,-4.757,0.146,137.853,4,0.305,False
41,Paris,The Chainsmokers,42,Paris,Paris,The Chainsmokers,2017-01-13,221520,73,0.646,0.0243,0.646,0.644,0.0,0.0888,-6.763,0.031,99.999,4,0.251,False
42,Side To Side,Ariana Grande Featuring Nicki Minaj,43,Side To Side,Dangerous Woman,Ariana Grande,2016-05-20,226160,11,0.65,0.0528,0.65,0.736,0.0,0.235,-5.84,0.229,159.173,4,0.613,True
43,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,44,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,251088,78,0.72,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4,0.742,False
44,Feel It Still,Portugal. The Man,45,Feel It Still,Feel It Still,Portugal. The Man,2017-03-02,163250,63,0.78,0.0406,0.78,0.798,6.31e-05,0.0733,-5.151,0.0613,78.969,4,0.771,False
45,Let Me Love You,DJ Snake Featuring Justin Bieber,46,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,85,0.649,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4,0.163,False
46,Sorry Not Sorry,Demi Lovato,47,Sorry Not Sorry,Tell Me You Love Me,Demi Lovato,2017-09-29,203760,1,0.702,0.0223,0.702,0.635,0.0,0.283,-6.917,0.265,144.004,4,0.873,True
47,Bank Account,21 Savage,48,Bank Account,Issa Album,21 Savage,2017-09-23,220306,82,0.884,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,75.016,4,0.376,True
48,Can't Stop The Feeling!,Justin Timberlake,49,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,80,0.666,0.0123,0.666,0.83,0.0,0.191,-5.715,0.0751,113.03,4,0.702,False
49,Mi Gente,J Balvin & Willy William Featuring Beyonce,50,Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),J Balvin,2017-09-28,209733,1,0.705,0.0249,0.705,0.714,0.0,0.253,-6.39,0.0792,104.996,4,0.434,False
50,Thunder,Imagine Dragons,51,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,0,0.604,0.00782,0.604,0.826,0.15,0.154,-4.804,0.0434,167.985,4,0.241,False
51,T-Shirt,Migos,52,T-Shirt,Culture,Migos,2017-01-27,242407,70,0.865,0.242,0.865,0.687,0.0,0.158,-3.744,0.217,139.023,4,0.486,True
52,Rake It Up,Yo Gotti Featuring Nicki Minaj,53,Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,2017-10-27,276333,72,0.91,0.022,0.91,0.444,0.0,0.137,-8.126,0.344,149.953,4,0.53,True
53,Mercy,Shawn Mendes,54,Mercy,Illuminate (Deluxe),Shawn Mendes,2017-04-20,208733,82,0.555,0.125,0.555,0.662,0.0,0.111,-4.952,0.0827,148.128,4,0.356,False
54,Tunnel Vision,Kodak Black,55,Tunnel Vision,Painting Pictures,Kodak Black,2017-03-31,268186,76,0.497,0.0576,0.497,0.489,9.91e-05,0.122,-7.724,0.294,171.853,4,0.231,True
55,Rockstar,Post Malone Featuring 21 Savage,56,rockstar,rockstar,Post Malone,2017-09-15,218320,0,0.58,0.128,0.58,0.531,0.000127,0.143,-6.631,0.0776,159.786,4,0.141,True
56,In Case You Didn't Know,Brett Young,57,In Case You Didn't Know,Brett Young,Brett Young,2017-02-10,224853,77,0.607,0.386,0.607,0.536,0.0,0.102,-7.306,0.0305,147.986,4,0.434,False
57,Heathens,twenty one pilots,58,Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,84,0.732,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4,0.548,False
58,Now Or Never,Halsey,59,Now Or Never,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,214801,70,0.67,0.107,0.67,0.585,1.11e-06,0.131,-4.861,0.0354,110.03,4,0.447,False
59,Caroline,Amine,60,Caroline,Good For You,Aminé,2017-07-28,209640,79,0.94,0.17,0.94,0.335,0.0,0.262,-10.179,0.505,120.04,4,0.707,True
60,Rolex,Ayo & Teo,61,Rolex,Rolex,Ayo & Teo,2017-03-15,238586,73,0.804,0.0837,0.804,0.886,0.0,0.266,-2.512,0.04,144.946,4,0.789,False
61,DNA.,Kendrick Lamar,62,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,81,0.638,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,4,0.422,True
62,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,63,Juju on That Beat (TZ Anthem),Juju on That Beat (TZ Anthem),Zay Hilfigerrr,2016-09-30,144244,61,0.807,0.00381,0.807,0.887,0.0,0.391,-3.892,0.275,160.517,4,0.78,False
63,Swang,Rae Sremmurd,64,Swang,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,208120,80,0.681,0.2,0.681,0.314,9.82e-06,0.1,-9.319,0.0581,139.992,4,0.166,True
64,Passionfruit,Drake,65,Passionfruit,More Life,Drake,2017-03-18,298940,83,0.809,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,4,0.364,True
65,Loyalty.,Kendrick Lamar Featuring Rihanna,66,LOYALTY. FEAT. RIHANNA.,DAMN. COLLECTORS EDITION.,Kendrick Lamar,2017-12-08,227360,47,0.658,0.0265,0.658,0.535,0.0,0.2,-8.983,0.0573,110.684,4,0.419,True
66,Praying,Kesha,67,Praying,Praying,Kesha,2017-07-06,230269,0,0.565,0.48,0.565,0.381,0.0,0.109,-7.204,0.0302,73.483,4,0.325,False
67,Goosebumps,Travis Scott,68,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,88,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4,0.43,True
68,Cold,Maroon 5 Featuring Future,69,Cold (feat. Future),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,234308,0,0.699,0.13,0.699,0.718,0.0,0.043,-6.295,0.116,99.915,4,0.52,True
69,Broccoli,D.R.A.M. Featuring Lil Yachty,70,Broccoli (feat. Lil Yachty),Big Baby DRAM,Shelley FKA DRAM,2016-10-21,225205,67,0.886,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4,0.708,True
70,Slide,Calvin Harris Featuring Frank Ocean & Migos,71,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,230813,75,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4,0.511,True
71,What Ifs,Kane Brown Featuring Lauren Alaina,72,What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,2016-12-02,188253,75,0.612,0.00898,0.612,0.799,0.0,0.172,-4.603,0.0275,125.976,4,0.687,False
72,Chained To The Rhythm,Katy Perry Featuring Skip Marley,73,Chained To The Rhythm,Witness,Katy Perry,2017-06-09,237734,0,0.52,0.0763,0.52,0.798,0.0,0.144,-5.389,0.0944,95.252,4,0.485,False
73,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",74,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,223413,77,0.893,0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,4,0.872,True
74,All Time Low,Jon Bellion,75,All Time Low,The Human Condition,Jon Bellion,2016-06-10,217603,71,0.617,0.0584,0.617,0.567,0.0,0.0933,-4.188,0.0828,90.246,4,0.505,True
75,Hurricane,Luke Combs,76,Hurricane,This One's for You,Luke Combs,2017-06-02,222533,77,0.464,0.0153,0.464,0.813,0.0,0.254,-6.185,0.0416,75.977,4,0.515,False
76,Too Good At Goodbyes,Sam Smith,77,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,76,0.681,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4,0.476,False
77,Young Dumb & Broke,Khalid,78,Young Dumb & Broke,American Teen,Khalid,2017-04-27,202546,83,0.799,0.199,0.799,0.539,1.66e-05,0.165,-6.351,0.0421,136.948,4,0.394,False
78,Magnolia,Playboi Carti,79,Magnolia,Playboi Carti,Playboi Carti,2017-04-14,181812,82,0.791,0.0114,0.791,0.582,0.0,0.35,-7.323,0.286,162.991,4,0.443,True
79,Love Galore,SZA Featuring Travis Scott,80,Love Galore (feat. Travis Scott),Ctrl,SZA,2017-06-09,275080,81,0.795,0.112,0.795,0.594,0.0,0.162,-6.2,0.0748,135.002,4,0.409,True
80,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,81,Drowning (feat. Kodak Black),Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,2017-03-09,209269,0,0.839,0.501,0.839,0.81,0.0,0.117,-5.274,0.0568,129.014,4,0.814,True
81,Starving,Hailee Steinfeld & Grey Featuring Zedd,82,Starving,Starving,Hailee Steinfeld,2016-07-22,181880,80,0.728,0.378,0.728,0.616,0.0,0.105,-4.238,0.0645,99.962,4,0.508,False
82,Both,Gucci Mane Featuring Drake,83,Both (feat. Drake),The Return of East Atlanta Santa,Gucci Mane,2016-12-16,190311,72,0.85,0.119,0.85,0.405,0.000118,0.0707,-7.509,0.225,139.976,4,0.344,True
83,What About Us,P!nk,84,What About Us,What About Us,P!nk,2017-08-10,271519,61,0.386,0.0252,0.386,0.594,3.19e-06,0.0873,-6.186,0.0566,113.756,4,0.187,False
84,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,85,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,216408,78,0.696,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,4,0.782,True
85,Slippery,Migos Featuring Gucci Mane,86,Slippery (feat. Gucci Mane),Culture,Migos,2017-01-27,304041,73,0.92,0.307,0.92,0.674,0.0,0.104,-5.662,0.264,141.967,4,0.741,True
86,Sign Of The Times,Harry Styles,87,Sign of the Times,Sign of the Times,Harry Styles,2017-04-07,340706,71,0.518,0.0259,0.518,0.575,0.0,0.109,-4.616,0.0302,120.019,4,0.209,False
87,Water Under The Bridge,Adele,88,Water Under The Bridge,25,Adele,2015-11-20,240439,3,0.59,0.0142,0.59,0.833,5.35e-06,0.105,-6.503,0.0615,94.963,4,0.537,False
88,Malibu,Miley Cyrus,89,Malibu,Younger Now,Miley Cyrus,2017-09-29,231906,76,0.573,0.0767,0.573,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,4,0.343,False
89,Down,Marian Hill,90,Down,ACT ONE,Marian Hill,2016-06-24,197773,62,0.678,0.675,0.678,0.357,0.00569,0.124,-14.712,0.128,113.301,5,0.0661,False
90,No Promises,Cheat Codes Featuring Demi Lovato,91,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),Cheat Codes,2017-03-31,222786,64,0.739,0.0572,0.739,0.619,0.0,0.105,-6.669,0.162,112.961,4,0.58,False
91,Treat You Better,Shawn Mendes,92,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,85,0.444,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4,0.747,False
92,I Get The Bag,Gucci Mane Featuring Migos,93,I Get the Bag (feat. Migos),Mr. Davis,Gucci Mane,2017-10-13,233087,74,0.89,0.0232,0.89,0.633,0.000343,0.0993,-5.475,0.168,139.948,4,0.425,True
93,Small Town Boy,Dustin Lynch,94,Small Town Boy,Current Mood,Dustin Lynch,2017-09-08,205733,71,0.554,0.0251,0.554,0.743,0.0,0.359,-6.016,0.0287,72.997,4,0.673,False
94,Everyday We Lit,YFN Lucci Featuring PnB Rock,95,Everyday We Lit (feat. PnB Rock),Long Live Nut,YFN Lucci,2017-03-03,197170,1,0.758,0.128,0.758,0.646,0.0,0.0778,-4.701,0.112,155.955,4,0.589,True
95,Havana,Camila Cabello Featuring Young Thug,96,Havana (feat. Young Thug),Havana (feat. Young Thug),Camila Cabello,2017-08-03,216896,2,0.768,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0.0312,104.992,4,0.418,False
96,What Lovers Do,Maroon 5 Featuring SZA,97,What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,199849,0,0.792,0.0805,0.792,0.612,3.83e-06,0.0852,-5.212,0.0693,109.959,4,0.42,False
97,Do Re Mi,blackbear,98,do re mi,digital druglord,blackbear,2017-04-21,212027,38,0.745,0.00522,0.745,0.593,5.25e-06,0.123,-6.35,0.0526,111.002,3,0.17,True
98,Look At Me!,XXXTENTACION,99,Look At Me!,Look At Me!,XXXTENTACION,2017-02-20,126345,85,0.763,0.259,0.763,0.726,0.0,0.0976,-6.405,0.282,139.059,4,0.349,True
99,The Fighter,Keith Urban Featuring Carrie Underwood,100,The Fighter,Ripcord,Keith Urban,2016-05-06,184040,64,0.681,0.0304,0.681,0.845,0.0,0.197,-5.147,0.0525,132.023,4,0.761,False
