,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
20,rockstar,rockstar,Post Malone,2017-09-15,218320,1,0.577,0.13,0.577,0.522,9.03e-05,0.142,-6.594,0.0984,159.772,4,0.119,True
21,Stay (with Alessia Cara),Stay,Zedd,2017-02-23,210090,1,0.679,0.232,0.679,0.634,0.0,0.115,-5.024,0.0654,102.013,4,0.498,False
22,Believer,Evolve,Imagine Dragons,2017-06-23,204346,1,0.779,0.0524,0.779,0.787,0.0,0.14,-4.305,0.108,124.982,4,0.708,False
23,Tunnel Vision,Painting Pictures,Kodak Black,2017-03-31,268186,76,0.497,0.0576,0.497,0.489,9.91e-05,0.122,-7.724,0.294,171.853,4,0.231,True
24,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,230813,70,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4,0.511,True
25,Issues,Nervous System,Julia Michaels,2017-07-28,176320,0,0.706,0.413,0.706,0.427,0.0,0.0609,-6.864,0.0879,113.804,4,0.42,False
26,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2016-12-09,245200,2,0.735,0.0631,0.735,0.451,1.3e-05,0.325,-8.374,0.0585,117.973,4,0.0862,False
27,T-Shirt,Culture,Migos,2017-01-27,242407,70,0.865,0.242,0.865,0.687,0.0,0.158,-3.744,0.217,139.023,4,0.486,True
28,Bank Account,Issa Album,21 Savage,2017-09-23,220306,81,0.884,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,75.016,4,0.376,True
29,Slippery (feat. Gucci Mane),Culture,Migos,2017-01-27,304041,73,0.92,0.307,0.92,0.674,0.0,0.104,-5.662,0.264,141.967,4,0.741,True
30,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,86,0.617,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4,0.446,False
31,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,220780,79,0.64,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,4,0.515,False
32,Starboy,Starboy,The Weeknd,2016-11-25,230453,3,0.681,0.165,0.681,0.594,3.49e-06,0.134,-7.028,0.282,186.054,4,0.535,True
33,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,213400,82,0.8,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.058,4,0.779,True
34,Paris,Memories...Do Not Open,The Chainsmokers,2017-04-07,221506,74,0.653,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,0.0304,99.99,4,0.219,False
35,Young Dumb & Broke,American Teen,Khalid,2017-04-27,202546,83,0.799,0.199,0.799,0.539,1.66e-05,0.165,-6.351,0.0421,136.948,4,0.394,False
36,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,87,0.358,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4,0.494,False
37,Closer,Closer,The Chainsmokers,2016-07-29,244960,87,0.748,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4,0.661,False
38,Portland,More Life,Drake,2017-03-18,236614,75,0.925,0.0172,0.925,0.443,0.0,0.276,-8.216,0.264,136.078,4,0.35,True
39,Drowning (feat. Kodak Black),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,209269,78,0.839,0.501,0.839,0.81,0.0,0.117,-5.274,0.0568,129.014,4,0.814,True
40,Swang,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,208120,80,0.681,0.2,0.681,0.314,9.82e-06,0.1,-9.319,0.0581,139.992,4,0.166,True
41,Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,204173,75,0.671,0.0329,0.671,0.672,0.0,0.118,-3.094,0.0688,97.979,4,0.632,True
42,BUTTERFLY EFFECT,BUTTERFLY EFFECT,Travis Scott,2017-05-18,190677,1,0.763,0.0714,0.763,0.598,0.0,0.112,-6.865,0.0539,140.987,4,0.182,False
43,I Feel It Coming,Starboy,The Weeknd,2016-11-24,269186,75,0.773,0.426,0.773,0.819,0.0,0.0679,-5.946,0.118,92.99,4,0.585,False
44,Caroline,Good For You,Aminé,2017-07-28,209640,79,0.94,0.17,0.94,0.335,0.0,0.262,-10.179,0.505,120.04,4,0.707,True
45,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,227360,75,0.658,0.0265,0.658,0.535,0.0,0.2,-8.983,0.0573,110.684,4,0.419,True
46,Attention,Attention,Charlie Puth,2017-04-20,211475,2,0.774,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0.0432,100.041,4,0.777,False
47,Magnolia,Playboi Carti,Playboi Carti,2017-04-14,181812,82,0.791,0.0114,0.791,0.582,0.0,0.35,-7.323,0.286,162.991,4,0.443,True
48,Bodak Yellow,Bodak Yellow,Cardi B,2017-06-16,223962,64,0.929,0.0672,0.929,0.723,0.0,0.346,-5.792,0.109,125.022,4,0.458,True
49,Broccoli (feat. Lil Yachty),Big Baby DRAM,Shelley FKA DRAM,2016-10-21,225205,67,0.886,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4,0.708,True
50,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,3,0.6,0.00683,0.6,0.81,0.21,0.155,-4.749,0.0479,167.88,4,0.298,False
51,Strip That Down,Strip That Down,Liam Payne,2017-05-18,204502,2,0.869,0.246,0.869,0.485,0.0,0.0765,-5.595,0.0545,106.028,4,0.527,False
52,Despacito (Featuring Daddy Yankee),Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,228200,2,0.66,0.209,0.66,0.786,0.0,0.112,-4.757,0.17,177.833,4,0.846,False
53,Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,2017-09-29,203760,0,0.704,0.0214,0.704,0.633,0.0,0.29,-6.923,0.241,144.021,4,0.863,True
54,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,81,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4,0.471,False
55,X (feat. Future),Savage Mode,21 Savage,2016-07-15,258880,75,0.835,0.373,0.835,0.413,0.00133,0.101,-9.81,0.396,149.004,4,0.111,True
56,Now Or Never,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,214801,70,0.67,0.107,0.67,0.585,1.11e-06,0.131,-4.861,0.0354,110.03,4,0.447,False
57,Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,291893,79,0.794,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4,0.355,True
58,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,2,0.857,0.381,0.857,0.8,0.0,0.0913,-4.035,0.0583,121.996,4,0.966,False
59,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,83,0.556,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4,0.291,True
60,No Problem (feat. Lil Wayne & 2 Chainz),Coloring Book,Chance the Rapper,2016-05-27,304606,72,0.652,0.156,0.652,0.795,0.0,0.123,-5.192,0.174,135.018,4,0.788,True
61,One Dance,Views,Drake,2016-05-06,173986,3,0.791,0.00784,0.791,0.619,0.00423,0.351,-5.886,0.0532,103.989,4,0.371,False
62,Gyalchester,More Life,Drake,2017-03-18,189229,70,0.877,0.0317,0.877,0.391,0.000502,0.0945,-8.196,0.063,131.018,4,0.122,True
63,Slow Hands,Flicker (Deluxe),Niall Horan,2017-10-20,188174,0,0.734,0.0129,0.734,0.418,0.0,0.0579,-6.678,0.0425,85.909,4,0.868,False
64,Feel It Still,Woodstock,Portugal. The Man,2017-06-16,163253,79,0.801,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4,0.754,False
65,Moves,I Decided.,Big Sean,2017-02-03,142906,65,0.812,0.0433,0.812,0.522,0.0,0.154,-5.287,0.257,75.524,4,0.38,True
66,ELEMENT.,DAMN.,Kendrick Lamar,2017-04-14,208733,74,0.748,0.204,0.748,0.705,0.0,0.246,-4.547,0.485,189.891,4,0.483,True
67,Go Flex,Stoney (Deluxe),Post Malone,2016-12-09,179613,79,0.665,0.228,0.665,0.498,0.0,0.0757,-8.185,0.0832,81.967,4,0.127,True
68,White Iverson,Stoney (Deluxe),Post Malone,2016-12-09,256533,79,0.675,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,130.098,4,0.309,True
69,Bad Things (with Camila Cabello),bloom,Machine Gun Kelly,2017-05-12,239293,75,0.697,0.214,0.697,0.691,0.0,0.185,-4.757,0.146,137.853,4,0.305,False
70,24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,80,0.818,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4,0.632,False
71,Havana (feat. Young Thug),Havana (feat. Young Thug),Camila Cabello,2017-08-03,216896,2,0.768,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0.0312,104.992,4,0.418,False
72,Mi Gente,Mi Gente,J Balvin,2017-06-30,189440,1,0.543,0.0148,0.543,0.677,6.21e-06,0.13,-4.915,0.0993,103.809,4,0.294,False
73,Rolex,Rolex,Ayo & Teo,2017-03-15,238586,73,0.804,0.0837,0.804,0.886,0.0,0.266,-2.512,0.04,144.946,4,0.789,False
74,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,223413,77,0.893,0.0642,0.893,0.745,0.0,0.0943,-3.105,0.0571,101.018,4,0.872,True
75,Love Galore (feat. Travis Scott),Ctrl,SZA,2017-06-09,275080,81,0.795,0.112,0.795,0.594,0.0,0.162,-6.2,0.0748,135.002,4,0.409,True
76,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,216408,78,0.696,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,4,0.782,True
77,It's A Vibe,Pretty Girls Like Trap Music,2 Chainz,2017-06-16,210200,76,0.822,0.0312,0.822,0.502,0.000887,0.114,-7.38,0.148,73.003,4,0.525,True
78,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,89,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3,0.168,False
79,No Heart,Savage Mode,21 Savage,2016-07-15,235040,75,0.906,0.136,0.906,0.444,6.44e-05,0.173,-8.692,0.384,140.063,4,0.678,True
80,"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,2016-10-28,175517,0,0.314,0.157,0.314,0.555,0.000108,0.067,-9.601,0.37,179.666,4,0.159,False
81,Losin Control,There's Really A Wolf,Russ,2017-05-05,237506,78,0.759,0.515,0.759,0.245,0.000154,0.102,-6.545,0.138,96.992,4,0.209,True
82,pick up the phone,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,252256,74,0.711,0.114,0.711,0.739,0.0,0.226,-3.804,0.129,136.919,4,0.43,True
83,You Was Right,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,163944,72,0.843,0.069,0.843,0.359,0.0,0.12,-7.417,0.461,81.987,4,0.156,True
84,Call On Me - Ryan Riback Extended Remix,Call On Me (Remixes),Starley,2016-10-14,222040,48,0.67,0.0604,0.67,0.838,0.000611,0.159,-4.031,0.0362,104.998,4,0.717,False
85,do re mi,digital druglord,blackbear,2017-04-21,212027,39,0.745,0.00522,0.745,0.593,5.25e-06,0.123,-6.35,0.0526,111.002,3,0.17,True
86,Both (feat. Drake),The Return of East Atlanta Santa,Gucci Mane,2016-12-16,190311,72,0.85,0.119,0.85,0.405,0.000118,0.0707,-7.509,0.225,139.976,4,0.344,True
87,Selfish (feat. Rihanna),HNDRXX,Future,2017-07-27,251422,62,0.415,0.0303,0.415,0.369,7.64e-06,0.383,-10.044,0.0741,95.746,4,0.0913,True
88,Weak,The Click,AJR,2017-06-09,201160,0,0.673,0.137,0.673,0.637,0.0,0.184,-4.518,0.0429,123.98,4,0.678,False
89,Silence,Silence,Marshmello,2017-08-11,180822,83,0.52,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4,0.286,False
90,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,177184,79,0.886,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4,0.23,True
91,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,220883,81,0.584,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,137.972,4,0.195,False
92,Love On The Brain,ANTI,Rihanna,2016-01-28,224000,1,0.509,0.0717,0.509,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006,3,0.378,True
93,Money Longer,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,198944,78,0.795,0.0541,0.795,0.568,0.0,0.108,-7.817,0.142,136.173,4,0.478,True
94,New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,209320,82,0.762,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4,0.608,False
95,Starving,HAIZ,Hailee Steinfeld,2016-08-19,181933,41,0.668,0.414,0.668,0.613,0.0,0.102,-4.225,0.102,99.852,4,0.498,True
96,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292986,88,0.692,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,100.45,4,0.463,True
97,Party Monster,Starboy,The Weeknd,2016-11-25,249213,75,0.573,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,4,0.218,True
